muon1: pt=202.724, eta=-0.868658, phi=1.18054, m=0.1
muon2: pt=188.561, eta=0.0681197, phi=-1.92124, m=0.1
muon1: pt=232.584, eta=0.622552, phi=-0.542126, m=0.1
muon2: pt=181.61, eta=-0.368811, phi=2.73283, m=0.1
muon1: pt=266.329, eta=0.770174, phi=0.772835, m=0.1
muon2: pt=261.806, eta=0.212407, phi=-2.36901, m=0.1
muon1: pt=199.368, eta=0.883721, phi=-3.02673, m=0.1
muon2: pt=186.115, eta=-0.537103, phi=0.0505499, m=0.1
muon1: pt=275.783, eta=0.601287, phi=-3.13505, m=0.1
muon2: pt=222.739, eta=-0.677173, phi=-0.00533134, m=0.1
muon1: pt=294.824, eta=-0.18393, phi=-0.125967, m=0.1
muon2: pt=160.107, eta=0.438739, phi=2.95259, m=0.1
muon1: pt=227.984, eta=-0.808728, phi=-0.950145, m=0.1
muon2: pt=252.909, eta=-0.38159, phi=2.19235, m=0.1
muon1: pt=249.603, eta=0.434704, phi=0.842861, m=0.1
muon2: pt=233.347, eta=-0.228321, phi=-2.31588, m=0.1
muon1: pt=213.445, eta=0.314933, phi=-0.597859, m=0.1
muon2: pt=199.454, eta=-0.410114, phi=2.57708, m=0.1
muon1: pt=198.681, eta=0.0316109, phi=-2.22641, m=0.1
muon2: pt=188.631, eta=-1.08458, phi=0.775096, m=0.1
muon1: pt=214.927, eta=0.946663, phi=0.241612, m=0.1
muon2: pt=195.925, eta=-0.272902, phi=-2.92195, m=0.1
muon1: pt=204.629, eta=-0.236746, phi=2.81072, m=0.1
muon2: pt=243.124, eta=1.0025, phi=-0.269677, m=0.1
muon1: pt=268.66, eta=-0.256401, phi=0.450688, m=0.1
muon2: pt=278.38, eta=0.327197, phi=-2.68639, m=0.1
muon1: pt=291.668, eta=0.542838, phi=-1.24067, m=0.1
muon2: pt=235.939, eta=-0.331619, phi=1.86849, m=0.1
muon1: pt=236.46, eta=0.386773, phi=2.92589, m=0.1
muon2: pt=235.917, eta=-0.104532, phi=-0.270473, m=0.1
muon1: pt=212.233, eta=-0.0393645, phi=0.292738, m=0.1
muon2: pt=212.436, eta=-0.719429, phi=-2.80052, m=0.1
muon1: pt=204.482, eta=0.245095, phi=2.43019, m=0.1
muon2: pt=195.651, eta=-0.297299, phi=-0.716669, m=0.1
muon1: pt=173.367, eta=0.708138, phi=0.636597, m=0.1
muon2: pt=241.613, eta=-0.676343, phi=-2.48038, m=0.1
muon1: pt=235.41, eta=0.117584, phi=0.165469, m=0.1
muon2: pt=234.688, eta=0.768953, phi=-2.96094, m=0.1
muon1: pt=213.197, eta=0.530861, phi=-0.542181, m=0.1
muon2: pt=200.535, eta=-0.82652, phi=2.60021, m=0.1
muon1: pt=300.78, eta=0.407734, phi=-3.12817, m=0.1
muon2: pt=259.723, eta=0.852437, phi=0.00300078, m=0.1
muon1: pt=240.764, eta=-0.445779, phi=-0.234582, m=0.1
muon2: pt=236.153, eta=-0.57678, phi=2.89538, m=0.1
muon1: pt=254.633, eta=0.460691, phi=-0.824644, m=0.1
muon2: pt=225.908, eta=-0.279368, phi=2.34993, m=0.1
muon1: pt=234.355, eta=-0.383316, phi=1.94442, m=0.1
muon2: pt=184.322, eta=0.772726, phi=-0.991242, m=0.1
muon1: pt=264.673, eta=0.570778, phi=0.766269, m=0.1
muon2: pt=184.182, eta=-0.396738, phi=-2.74481, m=0.1
muon1: pt=250.127, eta=-0.286896, phi=1.92175, m=0.1
muon2: pt=200.438, eta=-0.0991951, phi=-1.16259, m=0.1
muon1: pt=269.53, eta=0.945681, phi=-2.00688, m=0.1
muon2: pt=245.447, eta=0.566478, phi=1.16217, m=0.1
muon1: pt=205.772, eta=0.844338, phi=0.351086, m=0.1
muon2: pt=196.352, eta=-0.68666, phi=-2.83011, m=0.1
muon1: pt=265.431, eta=0.109023, phi=0.739802, m=0.1
muon2: pt=247.21, eta=0.406321, phi=-2.3754, m=0.1
muon1: pt=246.748, eta=-0.0983171, phi=-1.14142, m=0.1
muon2: pt=213.634, eta=0.764982, phi=1.98172, m=0.1
muon1: pt=221.265, eta=0.418734, phi=-2.71424, m=0.1
muon2: pt=217.255, eta=-0.989217, phi=0.4228, m=0.1
muon1: pt=235.124, eta=-0.0890106, phi=1.60318, m=0.1
muon2: pt=211.966, eta=-0.692516, phi=-1.55392, m=0.1
muon1: pt=240.053, eta=-0.307503, phi=0.86191, m=0.1
muon2: pt=221.679, eta=0.0109352, phi=-2.29087, m=0.1
muon1: pt=283.518, eta=-0.784768, phi=0.326642, m=0.1
muon2: pt=232.471, eta=0.196905, phi=-2.45086, m=0.1
muon1: pt=257.83, eta=0.563952, phi=1.14174, m=0.1
muon2: pt=243.379, eta=0.146071, phi=-1.99482, m=0.1
muon1: pt=234.708, eta=-0.295681, phi=1.60927, m=0.1
muon2: pt=204.478, eta=0.654129, phi=-1.48042, m=0.1
muon1: pt=245.519, eta=-0.363695, phi=1.84002, m=0.1
muon2: pt=184.878, eta=0.432373, phi=-1.41119, m=0.1
muon1: pt=242.034, eta=0.174725, phi=-2.85149, m=0.1
muon2: pt=194.408, eta=0.794354, phi=0.480558, m=0.1
muon1: pt=222.023, eta=-0.387045, phi=0.309509, m=0.1
muon2: pt=221.354, eta=0.158209, phi=-2.84613, m=0.1
muon1: pt=253.107, eta=-0.775433, phi=0.300061, m=0.1
muon2: pt=229.737, eta=-0.4095, phi=-2.9705, m=0.1
muon1: pt=184.117, eta=-0.551026, phi=1.18375, m=0.1
muon2: pt=214.287, eta=0.46634, phi=-1.8546, m=0.1
muon1: pt=254.419, eta=-0.967386, phi=2.19218, m=0.1
muon2: pt=227.471, eta=-0.23607, phi=-0.927132, m=0.1
muon1: pt=190.355, eta=-0.715412, phi=2.46121, m=0.1
muon2: pt=232.55, eta=0.679207, phi=-0.660314, m=0.1
muon1: pt=199.702, eta=0.533398, phi=-2.69326, m=0.1
muon2: pt=173.6, eta=-0.811052, phi=0.441458, m=0.1
muon1: pt=193.998, eta=-0.362822, phi=0.780398, m=0.1
muon2: pt=171.837, eta=0.790229, phi=-2.35816, m=0.1
muon1: pt=171.228, eta=0.507055, phi=-2.28849, m=0.1
muon2: pt=163.226, eta=-0.902642, phi=0.918578, m=0.1
muon1: pt=232.307, eta=-0.918737, phi=0.309672, m=0.1
muon2: pt=177.227, eta=0.165005, phi=-3.12538, m=0.1
muon1: pt=234.331, eta=0.237797, phi=2.93831, m=0.1
muon2: pt=222.84, eta=-0.211921, phi=-0.166262, m=0.1
muon1: pt=239.97, eta=0.135434, phi=1.9485, m=0.1
muon2: pt=238.626, eta=-0.388007, phi=-1.18734, m=0.1
muon1: pt=213.846, eta=-0.74001, phi=1.91859, m=0.1
muon2: pt=215.474, eta=0.397344, phi=-1.16622, m=0.1
muon1: pt=218.03, eta=0.883173, phi=-0.0988386, m=0.1
muon2: pt=200.507, eta=-0.251383, phi=3.11506, m=0.1
muon1: pt=227.438, eta=0.651406, phi=0.911306, m=0.1
muon2: pt=199.13, eta=-0.681925, phi=-2.32367, m=0.1
muon1: pt=238.934, eta=0.53189, phi=-1.48087, m=0.1
muon2: pt=211.712, eta=-0.377985, phi=1.75832, m=0.1
muon1: pt=247.834, eta=-0.314838, phi=2.75882, m=0.1
muon2: pt=242.085, eta=-0.47644, phi=-0.398116, m=0.1
muon1: pt=225.053, eta=0.18035, phi=2.0411, m=0.1
muon2: pt=195.519, eta=1.00567, phi=-1.0842, m=0.1
muon1: pt=235.622, eta=-0.127144, phi=-0.896687, m=0.1
muon2: pt=250.452, eta=0.178423, phi=2.17815, m=0.1
muon1: pt=251.214, eta=0.00582341, phi=-2.68457, m=0.1
muon2: pt=244.869, eta=0.700683, phi=0.434936, m=0.1
muon1: pt=289.123, eta=-0.280101, phi=-2.17655, m=0.1
muon2: pt=250.401, eta=0.0856938, phi=0.922779, m=0.1
muon1: pt=293.818, eta=-0.12564, phi=1.90522, m=0.1
muon2: pt=224.739, eta=0.226017, phi=-1.24204, m=0.1
muon1: pt=309.448, eta=-0.140532, phi=0.875606, m=0.1
muon2: pt=304.252, eta=-0.441024, phi=-2.2862, m=0.1
muon1: pt=209.809, eta=-0.575926, phi=1.25027, m=0.1
muon2: pt=184.038, eta=0.568878, phi=-1.88002, m=0.1
muon1: pt=288.78, eta=0.119028, phi=-0.947477, m=0.1
muon2: pt=249.695, eta=0.210793, phi=2.22465, m=0.1
muon1: pt=318.296, eta=0.261343, phi=-2.38011, m=0.1
muon2: pt=259.706, eta=0.429491, phi=0.774036, m=0.1
muon1: pt=192.968, eta=-0.798837, phi=-1.52072, m=0.1
muon2: pt=187.196, eta=0.334434, phi=1.60915, m=0.1
muon1: pt=228.663, eta=-0.552005, phi=-2.99859, m=0.1
muon2: pt=224.884, eta=0.258414, phi=0.127821, m=0.1
muon1: pt=245.971, eta=0.0152486, phi=-2.6804, m=0.1
muon2: pt=183.098, eta=0.282942, phi=0.435135, m=0.1
muon1: pt=280.957, eta=-0.307418, phi=2.80173, m=0.1
muon2: pt=250.738, eta=-0.315996, phi=-0.364177, m=0.1
muon1: pt=245.257, eta=0.807467, phi=2.71843, m=0.1
muon2: pt=224.041, eta=-0.181816, phi=-0.603606, m=0.1
muon1: pt=254.525, eta=-0.271968, phi=-1.70501, m=0.1
muon2: pt=232.388, eta=-0.201843, phi=1.4646, m=0.1
muon1: pt=216.517, eta=0.360733, phi=-2.04861, m=0.1
muon2: pt=232.582, eta=0.790936, phi=1.06235, m=0.1
muon1: pt=259.162, eta=-0.442409, phi=-1.01911, m=0.1
muon2: pt=298.855, eta=0.0749299, phi=2.1408, m=0.1
muon1: pt=253.381, eta=-0.278344, phi=0.329812, m=0.1
muon2: pt=229.643, eta=-0.501318, phi=-2.83731, m=0.1
muon1: pt=214.125, eta=0.0690399, phi=1.62208, m=0.1
muon2: pt=208.002, eta=0.607379, phi=-1.56746, m=0.1
muon1: pt=241.378, eta=-0.162246, phi=0.267637, m=0.1
muon2: pt=206.465, eta=0.452494, phi=-2.85373, m=0.1
muon1: pt=280.503, eta=-0.395126, phi=-2.74569, m=0.1
muon2: pt=248.476, eta=-0.115219, phi=0.397853, m=0.1
muon1: pt=279.299, eta=0.288993, phi=-0.939252, m=0.1
